"date","close","volume","open","high","low"

"2018/09/14","32.7200","217312000.0000","31.4300","33.0900","30.5400"
"2018/09/13","30.4800","302743600.0000","33.1600","34.1400","29.8700"
"2018/09/12","32.2100","196501400.0000","29.9100","32.2900","29.4500"
"2018/09/11","30.1000","159043200.0000","30.0200","30.5900","29.3700"
"2018/09/10","29.8900","161809900.0000","28.1500","29.9250","27.8400"
"2018/09/07","27.3800","123108000.0000","26.9600","28.2700","26.8000"
"2018/09/06","27.8400","143349900.0000","28.1200","28.5800","27.1900"
"2018/09/05","28.5100","256903900.0000","29.4100","29.9400","26.8400"
"2018/09/04","28.0600","191535000.0000","25.6200","28.1100","25.5675"
"2018/08/31","25.1700","65013800.0000","24.8900","25.2400","24.7200"
"2018/08/30","24.8900","103310600.0000","25.2900","25.6700","24.7600"
"2018/08/29","25.2000","142838100.0000","24.3600","25.4100","24.0100"
"2018/08/28","25.0500","215300400.0000","25.5100","26.1800","24.0400"
"2018/08/27","25.2600","323844500.0000","24.9400","27.3000","24.6261"
"2018/08/24","23.9800","163473500.0000","22.9100","24.0000","22.6700"
"2018/08/23","22.2900","111741600.0000","21.1900","22.3200","21.1400"
"2018/08/22","20.9000","61849990.0000","20.2800","20.9200","20.2100"
"2018/08/21","20.4000","54828680.0000","19.9800","20.4150","19.8600"
"2018/08/20","19.9800","62883850.0000","19.7900","20.0800","19.3500"
"2018/08/17","19.7700","60507310.0000","19.1200","19.8200","18.7300"
"2018/08/16","19.3300","69361230.0000","19.8600","20.0700","19.2500"
"2018/08/15","19.7000","86157320.0000","19.8600","20.1000","19.2000"
"2018/08/14","20.0200","88892330.0000","19.9700","20.2800","19.6300"
