,Date,Close,Volume,Open,High,Low,MACD,RSI,ROC,CCI,MassIndex,%K,%D,5 day,10 day,20 day
0,2008/09/15,5.18,16308760.0,5.31,5.63,5.18,0.0,,,,,,,-3.6679536679536584,-17.181467181467173,-18.72586872586872
1,2008/09/16,5.26,24651470.0,4.96,5.27,4.8,0.0017948717948721438,,,,,,,-6.083650190114057,-0.1901140684410606,-18.821292775665405
2,2008/09/17,4.9,25824410.0,5.13,5.29,4.85,-0.008876555533675834,,,,,,,-0.40816326530613184,-3.265306122448982,-20.204081632653065
3,2008/09/18,5.3,30593440.0,4.98,5.39,4.8,0.0009292596060781477,,,,,,,-1.3207547169811207,-21.886792452830193,-22.26415094339622
4,2008/09/19,5.42,21879120.0,5.63,5.68,5.23,0.011013105797903933,,,,,,,-4.797047970479701,-16.420664206642062,-22.324723247232473
5,2008/09/22,4.99,14709190.0,5.4,5.42,4.96,-0.001519196657861599,,,,,,,-14.028056112224451,-15.230460921843683,-17.635270541082164
6,2008/09/23,4.94,21575260.0,5.05,5.17,4.89,-0.0117952009338671,,,,,,,6.275303643724688,-7.0850202429149896,-20.8502024291498
7,2008/09/24,4.88,13282740.0,5.03,5.05,4.85,-0.02134951462404633,,,,,,,-2.868852459016387,-17.008196721311478,-25.819672131147538
8,2008/09/25,5.23,26062340.0,4.95,5.29,4.91,-0.010276081211615384,,,,,,,-20.8413001912046,-22.753346080305935,-37.28489483747611
9,2008/09/26,5.16,19265010.0,5.01,5.21,4.96,-0.005877033412460264,,,,,,,-12.209302325581394,-26.16279069767442,-41.27906976744187
10,2008/09/29,4.29,32190460.0,5.0,6.0,3.0,-0.048965538299883704,,,,,,,-1.3986013986013894,-1.8648018648018665,-31.46853146853147
11,2008/09/30,5.25,18803180.0,4.49,5.25,4.22,-0.027155982343351148,,1.351351351351357,,,,,-12.571428571428575,-18.666666666666675,-45.90476190476191
12,2008/10/01,4.74,27326530.0,4.55,5.0,4.53,-0.039430156309748554,,-9.885931558935354,,,,,-14.556962025316464,-17.51054852320675,-37.130801687763714
13,2008/10/02,4.14,24974600.0,4.6,4.85,4.13,-0.08287912623206051,,-15.510204081632667,,,37.999999999999986,,-2.4154589371980593,-0.4830917874396033,-14.009661835748785
14,2008/10/03,4.53,38159890.0,4.32,4.81,4.21,-0.09144548833387756,14.110429447852766,-14.528301886792445,,,51.000000000000014,,-15.89403973509934,-7.064017660044156,-22.737306843267113
15,2008/10/06,4.23,26588990.0,4.26,4.36,4.01,-0.11499112164487268,13.23594510845507,-21.955719557195565,,,41.000000000000014,43.333333333333336,-0.4728132387706964,-2.836879432624116,-14.657210401891266
16,2008/10/07,4.59,79672300.0,5.27,5.56,4.23,-0.10924248030347705,14.337268907300682,-8.016032064128263,,,52.99999999999999,48.333333333333336,-6.971677559912861,-14.814814814814808,-17.21132897603486
17,2008/10/08,4.05,46011160.0,4.45,4.742,3.99,-0.1375457917180185,13.450927964839664,-18.016194331983815,,,34.99999999999999,43.0,-3.4567901234567824,-10.617283950617278,-12.34567901234568
